Data As Of,Start Date,End Date,Group,Year,Month,State,Place of Death,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
06/28/2023,01/01/2020,06/24/2023,By Total,,,Delaware,"Healthcare setting, dead on arrival",,38,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Delaware,Decedent's home,383,"14,317",237,101,,527,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Delaware,Hospice facility,217,"4,574",197,63,,356,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Delaware,Nursing home/long term care facility,626,"4,946",196,93,,731,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Delaware,Other,23,"2,151",29,,,46,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Delaware,Place of death unknown,,,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,District of Columbia,Total - All Places of Death,"2,218","24,194","2,923","1,667",25,"3,495",
06/28/2023,01/01/2020,06/24/2023,By Total,,,District of Columbia,"Healthcare setting, inpatient","1,710","12,433","2,439","1,348",22,"2,821",
06/28/2023,01/01/2020,06/24/2023,By Total,,,District of Columbia,"Healthcare setting, outpatient or emergency room",88,"1,379",86,59,0,115,
06/28/2023,01/01/2020,06/24/2023,By Total,,,District of Columbia,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,District of Columbia,Decedent's home,188,"6,148",168,110,,246,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,District of Columbia,Hospice facility,40,816,53,32,0,61,
06/28/2023,01/01/2020,06/24/2023,By Total,,,District of Columbia,Nursing home/long term care facility,160,"1,670",139,96,0,203,
06/28/2023,01/01/2020,06/24/2023,By Total,,,District of Columbia,Other,32,"1,745",38,22,,49,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,District of Columbia,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Florida,Total - All Places of Death,"80,523","859,324","93,697","49,496","1,219","125,828",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Florida,"Healthcare setting, inpatient","54,413","253,579","65,296","38,404",780,"82,007",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Florida,"Healthcare setting, outpatient or emergency room","2,649","54,301","2,429","1,066",57,"4,066",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Florida,"Healthcare setting, dead on arrival",34,647,19,11,0,42,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Florida,Decedent's home,"5,757","244,114","5,617","2,007",96,"9,459",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Florida,Hospice facility,"10,181","153,710","13,825","5,294",216,"18,908",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Florida,Nursing home/long term care facility,"4,189","70,027","3,026","1,136",26,"6,101",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Florida,Other,"3,300","82,937","3,485","1,578",44,"5,245",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Florida,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Georgia,Total - All Places of Death,"36,141","360,991","33,124","18,543",517,"51,191",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Georgia,"Healthcare setting, inpatient","24,987","112,063","25,597","15,524",367,"35,392",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Georgia,"Healthcare setting, outpatient or emergency room","1,963","33,010","1,256",523,37,"2,729",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Georgia,"Healthcare setting, dead on arrival",70,"2,531",47,14,,104,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Georgia,Decedent's home,"3,446","122,448","2,149",821,60,"4,828",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Georgia,Hospice facility,"1,768","25,303","1,964",698,29,"3,061",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Georgia,Nursing home/long term care facility,"3,372","42,856","1,816",847,15,"4,355",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Georgia,Other,535,"22,739",295,116,,722,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Georgia,Place of death unknown,0,41,0,0,0,0,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Hawaii,Total - All Places of Death,"1,864","44,152","3,408",946,62,"4,384",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Hawaii,"Healthcare setting, inpatient","1,218","12,338","2,318",802,39,"2,771",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Hawaii,"Healthcare setting, outpatient or emergency room",138,"3,362",140,34,,248,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Hawaii,"Healthcare setting, dead on arrival",30,"1,830",46,,,73,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Hawaii,Decedent's home,277,"16,326",452,66,,670,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Hawaii,Hospice facility,31,"1,859",87,,,111,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Hawaii,Nursing home/long term care facility,100,"3,594",180,13,,272,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Hawaii,Other,70,"4,842",185,19,,239,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Hawaii,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Idaho,Total - All Places of Death,"5,564","59,435","4,821","2,812",141,"7,705",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Idaho,"Healthcare setting, inpatient","3,207","14,426","3,225","2,094",71,"4,403",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Idaho,"Healthcare setting, outpatient or emergency room",117,"2,022",105,38,,192,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Idaho,"Healthcare setting, dead on arrival",0,47,0,0,0,0,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Idaho,Decedent's home,932,"24,584",668,311,35,"1,322",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Idaho,Hospice facility,190,"2,208",187,92,,291,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Idaho,Nursing home/long term care facility,"1,049","12,852",578,255,19,"1,390",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Idaho,Other,69,"3,296",58,22,,107,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Idaho,Place of death unknown,0,0,0,0,0,0,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Illinois,Total - All Places of Death,"38,488","421,058","39,243","19,796",590,"58,488",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Illinois,"Healthcare setting, inpatient","24,928","130,216","29,601","16,234",380,"38,645",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Illinois,"Healthcare setting, outpatient or emergency room","1,598","29,931","1,244",497,32,"2,376",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Illinois,"Healthcare setting, dead on arrival",33,910,13,,0,39,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Illinois,Decedent's home,"3,595","140,764","2,905",936,64,"5,627",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Illinois,Hospice facility,926,"16,513","1,206",434,16,"1,713",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Illinois,Nursing home/long term care facility,"6,381","72,795","3,637","1,475",84,"8,624",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Illinois,Other,"1,027","29,928",637,213,14,"1,464",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Illinois,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Indiana,Total - All Places of Death,"26,681","265,733","27,174","13,864",515,"40,472",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Indiana,"Healthcare setting, inpatient","16,054","82,286","20,110","11,171",357,"25,325",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Indiana,"Healthcare setting, outpatient or emergency room",627,"11,390",545,220,23,972,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Indiana,"Healthcare setting, dead on arrival",,213,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Indiana,Decedent's home,"2,587","88,764","2,261",807,51,"4,089",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Indiana,Hospice facility,454,"9,870",793,272,14,989,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Indiana,Nursing home/long term care facility,"6,570","58,876","3,137","1,269",63,"8,498",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Indiana,Other,382,"14,313",325,124,,590,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Indiana,Place of death unknown,0,21,0,0,0,0,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Iowa,Total - All Places of Death,"10,961","118,253","9,574","4,051",314,"16,782",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Iowa,"Healthcare setting, inpatient","5,620","31,186","6,120","2,970",142,"8,900",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Iowa,"Healthcare setting, outpatient or emergency room",331,"6,182",252,82,14,514,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Iowa,"Healthcare setting, dead on arrival",,125,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Iowa,Decedent's home,978,"33,249",852,218,46,"1,657",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Iowa,Hospice facility,332,"9,529",632,112,27,878,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Iowa,Nursing home/long term care facility,"3,567","33,238","1,627",643,80,"4,630",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Iowa,Other,128,"4,742",87,24,,195,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Iowa,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Kansas,Total - All Places of Death,"10,084","106,049","9,193","4,469",301,"15,093",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Kansas,"Healthcare setting, inpatient","6,005","30,124","6,396","3,455",172,"9,108",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Kansas,"Healthcare setting, outpatient or emergency room",282,"4,402",231,90,12,435,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Kansas,"Healthcare setting, dead on arrival",,94,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Kansas,Decedent's home,"1,004","33,449",789,269,45,"1,566",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Kansas,Hospice facility,211,"5,243",395,86,20,539,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Kansas,Nursing home/long term care facility,"2,435","27,093","1,279",538,50,"3,225",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Kansas,Other,145,"5,644",103,31,,218,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Kansas,Place of death unknown,0,0,0,0,0,0,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Kentucky,Total - All Places of Death,"20,067","196,593","22,736","10,205",501,"33,042",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Kentucky,"Healthcare setting, inpatient","13,012","68,011","17,860","8,569",357,"22,616",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Kentucky,"Healthcare setting, outpatient or emergency room",767,"14,557",588,211,21,"1,165",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Kentucky,"Healthcare setting, dead on arrival",,272,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Kentucky,Decedent's home,"2,456","64,128","1,712",617,65,"3,611",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Kentucky,Hospice facility,854,"14,439",982,254,35,"1,613",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Kentucky,Nursing home/long term care facility,"2,756","25,732","1,433",489,20,"3,716",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Kentucky,Other,216,"9,439",157,62,,313,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Kentucky,Place of death unknown,,15,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Louisiana,Total - All Places of Death,"17,568","187,478","15,345","8,827",225,"24,295",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Louisiana,"Healthcare setting, inpatient","12,458","56,490","11,610","7,167",159,"17,047",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Louisiana,"Healthcare setting, outpatient or emergency room",828,"12,543",726,336,18,"1,236",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Louisiana,"Healthcare setting, dead on arrival",,138,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Louisiana,Decedent's home,"1,745","69,881","1,237",475,32,"2,537",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Louisiana,Hospice facility,477,"9,515",464,222,,725,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Louisiana,Nursing home/long term care facility,"1,848","26,404","1,142",567,,"2,431",One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Louisiana,Other,209,"12,507",162,59,,313,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Louisiana,Place of death unknown,0,0,0,0,0,0,
06/28/2023,01/01/2020,06/24/2023,By Total,,,Maine,Total - All Places of Death,"3,181","57,666","4,004",852,137,"6,466",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Maine,"Healthcare setting, inpatient","1,666","13,665","2,546",645,73,"3,638",
06/28/2023,01/01/2020,06/24/2023,By Total,,,Maine,"Healthcare setting, outpatient or emergency room",82,"1,871",98,15,,173,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/28/2023,01/01/2020,06/24/2023,By Total,,,Maine,"Healthcare setting, dead on arrival",,30,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
