"State","Place.of.Death","COVID.19.Deaths","Date"
"Alabama","Healthcare setting, dead on arrival",0,2022-04-01
"Alabama","Decedent's home",25,2022-04-01
"Alabama","Hospice facility",NA,2022-04-01
"Alabama","Nursing home/long term care facility",19,2022-04-01
"Alabama","Other",NA,2022-04-01
"Alabama","Place of death unknown",0,2022-04-01
"Alabama","Total - All Places of Death",65,2022-05-01
"Alabama","Healthcare setting, inpatient",28,2022-05-01
"Alabama","Healthcare setting, outpatient or emergency room",0,2022-05-01
"Alabama","Healthcare setting, dead on arrival",0,2022-05-01
"Alabama","Decedent's home",23,2022-05-01
"Alabama","Hospice facility",NA,2022-05-01
"Alabama","Nursing home/long term care facility",10,2022-05-01
"Alabama","Other",NA,2022-05-01
"Alabama","Place of death unknown",0,2022-05-01
"Alabama","Total - All Places of Death",112,2022-06-01
"Alabama","Healthcare setting, inpatient",60,2022-06-01
"Alabama","Healthcare setting, outpatient or emergency room",NA,2022-06-01
"Alabama","Healthcare setting, dead on arrival",0,2022-06-01
"Alabama","Decedent's home",26,2022-06-01
"Alabama","Hospice facility",NA,2022-06-01
"Alabama","Nursing home/long term care facility",10,2022-06-01
"Alabama","Other",NA,2022-06-01
"Alabama","Place of death unknown",0,2022-06-01
"Alabama","Total - All Places of Death",250,2022-07-01
"Alabama","Healthcare setting, inpatient",139,2022-07-01
"Alabama","Healthcare setting, outpatient or emergency room",12,2022-07-01
"Alabama","Healthcare setting, dead on arrival",0,2022-07-01
"Alabama","Decedent's home",48,2022-07-01
"Alabama","Hospice facility",11,2022-07-01
"Alabama","Nursing home/long term care facility",38,2022-07-01
"Alabama","Other",NA,2022-07-01
"Alabama","Place of death unknown",0,2022-07-01
"Alabama","Total - All Places of Death",266,2022-08-01
"Alabama","Healthcare setting, inpatient",146,2022-08-01
"Alabama","Healthcare setting, outpatient or emergency room",NA,2022-08-01
"Alabama","Healthcare setting, dead on arrival",0,2022-08-01
"Alabama","Decedent's home",57,2022-08-01
"Alabama","Hospice facility",17,2022-08-01
"Alabama","Nursing home/long term care facility",38,2022-08-01
"Alabama","Other",NA,2022-08-01
"Alabama","Place of death unknown",0,2022-08-01
"Alabama","Total - All Places of Death",194,2022-09-01
"Alabama","Healthcare setting, inpatient",108,2022-09-01
"Alabama","Healthcare setting, outpatient or emergency room",NA,2022-09-01
"Alabama","Healthcare setting, dead on arrival",0,2022-09-01
"Alabama","Decedent's home",41,2022-09-01
"Alabama","Hospice facility",11,2022-09-01
"Alabama","Nursing home/long term care facility",21,2022-09-01
"Alabama","Other",NA,2022-09-01
"Alabama","Place of death unknown",0,2022-09-01
"Alabama","Total - All Places of Death",106,2022-10-01
"Alabama","Healthcare setting, inpatient",49,2022-10-01
"Alabama","Healthcare setting, outpatient or emergency room",NA,2022-10-01
"Alabama","Healthcare setting, dead on arrival",0,2022-10-01
"Alabama","Decedent's home",23,2022-10-01
"Alabama","Hospice facility",NA,2022-10-01
"Alabama","Nursing home/long term care facility",23,2022-10-01
"Alabama","Other",NA,2022-10-01
"Alabama","Place of death unknown",0,2022-10-01
"Alabama","Total - All Places of Death",101,2022-11-01
"Alabama","Healthcare setting, inpatient",48,2022-11-01
"Alabama","Healthcare setting, outpatient or emergency room",NA,2022-11-01
"Alabama","Healthcare setting, dead on arrival",0,2022-11-01
"Alabama","Decedent's home",20,2022-11-01
"Alabama","Hospice facility",NA,2022-11-01
"Alabama","Nursing home/long term care facility",15,2022-11-01
"Alabama","Other",NA,2022-11-01
"Alabama","Place of death unknown",0,2022-11-01
"Alabama","Total - All Places of Death",170,2022-12-01
"Alabama","Healthcare setting, inpatient",96,2022-12-01
"Alabama","Healthcare setting, outpatient or emergency room",NA,2022-12-01
"Alabama","Healthcare setting, dead on arrival",0,2022-12-01
"Alabama","Decedent's home",32,2022-12-01
"Alabama","Hospice facility",NA,2022-12-01
"Alabama","Nursing home/long term care facility",29,2022-12-01
"Alabama","Other",0,2022-12-01
"Alabama","Place of death unknown",0,2022-12-01
"Alabama","Total - All Places of Death",259,2023-01-01
"Alabama","Healthcare setting, inpatient",159,2023-01-01
"Alabama","Healthcare setting, outpatient or emergency room",NA,2023-01-01
"Alabama","Healthcare setting, dead on arrival",NA,2023-01-01
"Alabama","Decedent's home",41,2023-01-01
"Alabama","Hospice facility",15,2023-01-01
"Alabama","Nursing home/long term care facility",30,2023-01-01
"Alabama","Other",NA,2023-01-01
"Alabama","Place of death unknown",0,2023-01-01
"Alabama","Total - All Places of Death",158,2023-02-01
"Alabama","Healthcare setting, inpatient",96,2023-02-01
"Alabama","Healthcare setting, outpatient or emergency room",NA,2023-02-01
"Alabama","Healthcare setting, dead on arrival",0,2023-02-01
"Alabama","Decedent's home",30,2023-02-01
"Alabama","Hospice facility",12,2023-02-01
"Alabama","Nursing home/long term care facility",13,2023-02-01
"Alabama","Other",NA,2023-02-01
"Alabama","Place of death unknown",0,2023-02-01
"Alabama","Total - All Places of Death",98,2023-03-01
"Alabama","Healthcare setting, inpatient",53,2023-03-01
"Alabama","Healthcare setting, outpatient or emergency room",NA,2023-03-01
"Alabama","Healthcare setting, dead on arrival",0,2023-03-01
"Alabama","Decedent's home",23,2023-03-01
"Alabama","Hospice facility",NA,2023-03-01
"Alabama","Nursing home/long term care facility",17,2023-03-01
"Alabama","Other",NA,2023-03-01
"Alabama","Place of death unknown",0,2023-03-01
"Alabama","Total - All Places of Death",71,2023-04-01
"Alabama","Healthcare setting, inpatient",40,2023-04-01
"Alabama","Healthcare setting, outpatient or emergency room",NA,2023-04-01
"Alabama","Healthcare setting, dead on arrival",0,2023-04-01
"Alabama","Decedent's home",16,2023-04-01
"Alabama","Hospice facility",NA,2023-04-01
"Alabama","Nursing home/long term care facility",NA,2023-04-01
"Alabama","Other",NA,2023-04-01
"Alabama","Place of death unknown",0,2023-04-01
"Alabama","Total - All Places of Death",48,2023-05-01
"Alabama","Healthcare setting, inpatient",28,2023-05-01
"Alabama","Healthcare setting, outpatient or emergency room",NA,2023-05-01
"Alabama","Healthcare setting, dead on arrival",NA,2023-05-01
"Alabama","Decedent's home",11,2023-05-01
"Alabama","Hospice facility",NA,2023-05-01
"Alabama","Nursing home/long term care facility",NA,2023-05-01
"Alabama","Other",NA,2023-05-01
"Alabama","Place of death unknown",0,2023-05-01
"Alabama","Total - All Places of Death",18,2023-06-01
"Alabama","Healthcare setting, inpatient",11,2023-06-01
"Alabama","Healthcare setting, outpatient or emergency room",NA,2023-06-01
"Alabama","Healthcare setting, dead on arrival",0,2023-06-01
"Alabama","Decedent's home",NA,2023-06-01
"Alabama","Hospice facility",NA,2023-06-01
"Alabama","Nursing home/long term care facility",NA,2023-06-01
"Alabama","Other",0,2023-06-01
"Alabama","Place of death unknown",0,2023-06-01
"Alaska","Total - All Places of Death",0,2020-01-01
"Alaska","Healthcare setting, inpatient",0,2020-01-01
"Alaska","Healthcare setting, outpatient or emergency room",0,2020-01-01
"Alaska","Healthcare setting, dead on arrival",0,2020-01-01
"Alaska","Decedent's home",0,2020-01-01
"Alaska","Hospice facility",0,2020-01-01
"Alaska","Nursing home/long term care facility",0,2020-01-01
"Alaska","Other",0,2020-01-01
"Alaska","Place of death unknown",0,2020-01-01
"Alaska","Total - All Places of Death",0,2020-02-01
"Alaska","Healthcare setting, inpatient",0,2020-02-01
"Alaska","Healthcare setting, outpatient or emergency room",0,2020-02-01
"Alaska","Healthcare setting, dead on arrival",0,2020-02-01
"Alaska","Decedent's home",0,2020-02-01
"Alaska","Hospice facility",0,2020-02-01
"Alaska","Nursing home/long term care facility",0,2020-02-01
"Alaska","Other",0,2020-02-01
"Alaska","Place of death unknown",0,2020-02-01
"Alaska","Total - All Places of Death",NA,2020-03-01
"Alaska","Healthcare setting, inpatient",NA,2020-03-01
"Alaska","Healthcare setting, outpatient or emergency room",0,2020-03-01
"Alaska","Healthcare setting, dead on arrival",0,2020-03-01
"Alaska","Decedent's home",0,2020-03-01
"Alaska","Hospice facility",0,2020-03-01
"Alaska","Nursing home/long term care facility",0,2020-03-01
"Alaska","Other",0,2020-03-01
"Alaska","Place of death unknown",0,2020-03-01
"Alaska","Total - All Places of Death",NA,2020-04-01
"Alaska","Healthcare setting, inpatient",NA,2020-04-01
"Alaska","Healthcare setting, outpatient or emergency room",0,2020-04-01
"Alaska","Healthcare setting, dead on arrival",0,2020-04-01
"Alaska","Decedent's home",0,2020-04-01
"Alaska","Hospice facility",0,2020-04-01
"Alaska","Nursing home/long term care facility",0,2020-04-01
"Alaska","Other",0,2020-04-01
"Alaska","Place of death unknown",0,2020-04-01
"Alaska","Total - All Places of Death",NA,2020-05-01
"Alaska","Healthcare setting, inpatient",NA,2020-05-01
"Alaska","Healthcare setting, outpatient or emergency room",0,2020-05-01
"Alaska","Healthcare setting, dead on arrival",0,2020-05-01
"Alaska","Decedent's home",0,2020-05-01
"Alaska","Hospice facility",0,2020-05-01
"Alaska","Nursing home/long term care facility",0,2020-05-01
"Alaska","Other",0,2020-05-01
"Alaska","Place of death unknown",0,2020-05-01
"Alaska","Total - All Places of Death",NA,2020-06-01
"Alaska","Healthcare setting, inpatient",NA,2020-06-01
"Alaska","Healthcare setting, outpatient or emergency room",0,2020-06-01
"Alaska","Healthcare setting, dead on arrival",0,2020-06-01
"Alaska","Decedent's home",0,2020-06-01
"Alaska","Hospice facility",0,2020-06-01
"Alaska","Nursing home/long term care facility",0,2020-06-01
"Alaska","Other",0,2020-06-01
"Alaska","Place of death unknown",0,2020-06-01
"Alaska","Total - All Places of Death",12,2020-07-01
"Alaska","Healthcare setting, inpatient",11,2020-07-01
"Alaska","Healthcare setting, outpatient or emergency room",0,2020-07-01
"Alaska","Healthcare setting, dead on arrival",0,2020-07-01
"Alaska","Decedent's home",NA,2020-07-01
"Alaska","Hospice facility",0,2020-07-01
"Alaska","Nursing home/long term care facility",0,2020-07-01
"Alaska","Other",0,2020-07-01
"Alaska","Place of death unknown",0,2020-07-01
"Alaska","Total - All Places of Death",19,2020-08-01
"Alaska","Healthcare setting, inpatient",13,2020-08-01
"Alaska","Healthcare setting, outpatient or emergency room",NA,2020-08-01
"Alaska","Healthcare setting, dead on arrival",0,2020-08-01
"Alaska","Decedent's home",NA,2020-08-01
"Alaska","Hospice facility",0,2020-08-01
"Alaska","Nursing home/long term care facility",NA,2020-08-01
"Alaska","Other",NA,2020-08-01
"Alaska","Place of death unknown",0,2020-08-01
"Alaska","Total - All Places of Death",12,2020-09-01
"Alaska","Healthcare setting, inpatient",NA,2020-09-01
"Alaska","Healthcare setting, outpatient or emergency room",0,2020-09-01
"Alaska","Healthcare setting, dead on arrival",0,2020-09-01
"Alaska","Decedent's home",NA,2020-09-01
"Alaska","Hospice facility",0,2020-09-01
"Alaska","Nursing home/long term care facility",NA,2020-09-01
"Alaska","Other",0,2020-09-01
"Alaska","Place of death unknown",0,2020-09-01
"Alaska","Total - All Places of Death",34,2020-10-01
"Alaska","Healthcare setting, inpatient",25,2020-10-01
"Alaska","Healthcare setting, outpatient or emergency room",0,2020-10-01
"Alaska","Healthcare setting, dead on arrival",0,2020-10-01
"Alaska","Decedent's home",NA,2020-10-01
"Alaska","Hospice facility",0,2020-10-01
"Alaska","Nursing home/long term care facility",NA,2020-10-01
"Alaska","Other",NA,2020-10-01
"Alaska","Place of death unknown",0,2020-10-01
"Alaska","Total - All Places of Death",69,2020-11-01
"Alaska","Healthcare setting, inpatient",47,2020-11-01
"Alaska","Healthcare setting, outpatient or emergency room",NA,2020-11-01
"Alaska","Healthcare setting, dead on arrival",0,2020-11-01
"Alaska","Decedent's home",13,2020-11-01
"Alaska","Hospice facility",0,2020-11-01
"Alaska","Nursing home/long term care facility",NA,2020-11-01
"Alaska","Other",NA,2020-11-01
"Alaska","Place of death unknown",0,2020-11-01
"Alaska","Total - All Places of Death",97,2020-12-01
"Alaska","Healthcare setting, inpatient",78,2020-12-01
"Alaska","Healthcare setting, outpatient or emergency room",NA,2020-12-01
"Alaska","Healthcare setting, dead on arrival",0,2020-12-01
"Alaska","Decedent's home",10,2020-12-01
"Alaska","Hospice facility",0,2020-12-01
"Alaska","Nursing home/long term care facility",NA,2020-12-01
"Alaska","Other",0,2020-12-01
"Alaska","Place of death unknown",0,2020-12-01
"Alaska","Total - All Places of Death",37,2021-01-01
"Alaska","Healthcare setting, inpatient",23,2021-01-01
"Alaska","Healthcare setting, outpatient or emergency room",NA,2021-01-01
"Alaska","Healthcare setting, dead on arrival",0,2021-01-01
"Alaska","Decedent's home",NA,2021-01-01
"Alaska","Hospice facility",0,2021-01-01
"Alaska","Nursing home/long term care facility",NA,2021-01-01
"Alaska","Other",0,2021-01-01
"Alaska","Place of death unknown",0,2021-01-01
"Alaska","Total - All Places of Death",18,2021-02-01
"Alaska","Healthcare setting, inpatient",14,2021-02-01
"Alaska","Healthcare setting, outpatient or emergency room",0,2021-02-01
"Alaska","Healthcare setting, dead on arrival",0,2021-02-01
"Alaska","Decedent's home",NA,2021-02-01
"Alaska","Hospice facility",0,2021-02-01
"Alaska","Nursing home/long term care facility",0,2021-02-01
"Alaska","Other",NA,2021-02-01
"Alaska","Place of death unknown",0,2021-02-01
"Alaska","Total - All Places of Death",16,2021-03-01
"Alaska","Healthcare setting, inpatient",12,2021-03-01
"Alaska","Healthcare setting, outpatient or emergency room",0,2021-03-01
"Alaska","Healthcare setting, dead on arrival",0,2021-03-01
"Alaska","Decedent's home",NA,2021-03-01
"Alaska","Hospice facility",0,2021-03-01
"Alaska","Nursing home/long term care facility",0,2021-03-01
"Alaska","Other",0,2021-03-01
"Alaska","Place of death unknown",0,2021-03-01
"Alaska","Total - All Places of Death",17,2021-04-01
"Alaska","Healthcare setting, inpatient",11,2021-04-01
"Alaska","Healthcare setting, outpatient or emergency room",0,2021-04-01
"Alaska","Healthcare setting, dead on arrival",0,2021-04-01
"Alaska","Decedent's home",NA,2021-04-01
"Alaska","Hospice facility",0,2021-04-01
"Alaska","Nursing home/long term care facility",NA,2021-04-01
"Alaska","Other",0,2021-04-01
"Alaska","Place of death unknown",0,2021-04-01
"Alaska","Total - All Places of Death",32,2021-05-01
"Alaska","Healthcare setting, inpatient",23,2021-05-01
"Alaska","Healthcare setting, outpatient or emergency room",NA,2021-05-01
"Alaska","Healthcare setting, dead on arrival",0,2021-05-01
"Alaska","Decedent's home",NA,2021-05-01
"Alaska","Hospice facility",0,2021-05-01
"Alaska","Nursing home/long term care facility",NA,2021-05-01
"Alaska","Other",0,2021-05-01
"Alaska","Place of death unknown",0,2021-05-01
"Alaska","Total - All Places of Death",NA,2021-06-01
"Alaska","Healthcare setting, inpatient",NA,2021-06-01
"Alaska","Healthcare setting, outpatient or emergency room",0,2021-06-01
"Alaska","Healthcare setting, dead on arrival",0,2021-06-01
"Alaska","Decedent's home",0,2021-06-01
"Alaska","Hospice facility",0,2021-06-01
"Alaska","Nursing home/long term care facility",0,2021-06-01
"Alaska","Other",0,2021-06-01
"Alaska","Place of death unknown",0,2021-06-01
"Alaska","Total - All Places of Death",25,2021-07-01
"Alaska","Healthcare setting, inpatient",22,2021-07-01
"Alaska","Healthcare setting, outpatient or emergency room",0,2021-07-01
"Alaska","Healthcare setting, dead on arrival",0,2021-07-01
