"State","Place.of.Death","COVID.19.Deaths","Date"
"Alaska","Total - All Places of Death",220,"2021-10-01"
"Alaska","Total - All Places of Death",115,"2021-11-01"
"Alaska","Total - All Places of Death",55,"2021-12-01"
"Alaska","Total - All Places of Death",68,"2022-01-01"
"Alaska","Total - All Places of Death",79,"2022-02-01"
"Alaska","Total - All Places of Death",31,"2022-03-01"
"Alaska","Total - All Places of Death",20,"2022-04-01"
"Alaska","Total - All Places of Death",21,"2022-05-01"
"Alaska","Total - All Places of Death",19,"2022-06-01"
"Alaska","Total - All Places of Death",25,"2022-07-01"
"Alaska","Total - All Places of Death",23,"2022-08-01"
"Alaska","Total - All Places of Death",17,"2022-09-01"
"Alaska","Total - All Places of Death",11,"2022-10-01"
"Alaska","Total - All Places of Death",NA,"2022-11-01"
"Alaska","Total - All Places of Death",NA,"2022-12-01"
"Alaska","Total - All Places of Death",NA,"2023-01-01"
"Alaska","Total - All Places of Death",13,"2023-02-01"
"Alaska","Total - All Places of Death",NA,"2023-03-01"
"Alaska","Total - All Places of Death",NA,"2023-04-01"
"Alaska","Total - All Places of Death",NA,"2023-05-01"
"Alaska","Total - All Places of Death",NA,"2023-06-01"
"Arizona","Total - All Places of Death",0,"2020-01-01"
"Arizona","Total - All Places of Death",0,"2020-02-01"
"Arizona","Total - All Places of Death",64,"2020-03-01"
"Arizona","Total - All Places of Death",405,"2020-04-01"
"Arizona","Total - All Places of Death",507,"2020-05-01"
"Arizona","Total - All Places of Death",899,"2020-06-01"
"Arizona","Total - All Places of Death",NA,"2020-07-01"
"Arizona","Total - All Places of Death",942,"2020-08-01"
"Arizona","Total - All Places of Death",273,"2020-09-01"
"Arizona","Total - All Places of Death",259,"2020-10-01"
"Arizona","Total - All Places of Death",858,"2020-11-01"
"Arizona","Total - All Places of Death",NA,"2020-12-01"
"Arizona","Total - All Places of Death",NA,"2021-01-01"
"Arizona","Total - All Places of Death",NA,"2021-02-01"
"Arizona","Total - All Places of Death",517,"2021-03-01"
"Arizona","Total - All Places of Death",235,"2021-04-01"
"Arizona","Total - All Places of Death",240,"2021-05-01"
"Arizona","Total - All Places of Death",182,"2021-06-01"
"Arizona","Total - All Places of Death",290,"2021-07-01"
"Arizona","Total - All Places of Death",791,"2021-08-01"
"Arizona","Total - All Places of Death",NA,"2021-09-01"
"Arizona","Total - All Places of Death",NA,"2021-10-01"
"Arizona","Total - All Places of Death",NA,"2021-11-01"
"Arizona","Total - All Places of Death",NA,"2021-12-01"
"Arizona","Total - All Places of Death",NA,"2022-01-01"
"Arizona","Total - All Places of Death",NA,"2022-02-01"
"Arizona","Total - All Places of Death",452,"2022-03-01"
"Arizona","Total - All Places of Death",125,"2022-04-01"
"Arizona","Total - All Places of Death",128,"2022-05-01"
"Arizona","Total - All Places of Death",218,"2022-06-01"
"Arizona","Total - All Places of Death",268,"2022-07-01"
"Arizona","Total - All Places of Death",196,"2022-08-01"
"Arizona","Total - All Places of Death",157,"2022-09-01"
"Arizona","Total - All Places of Death",131,"2022-10-01"
"Arizona","Total - All Places of Death",289,"2022-11-01"
"Arizona","Total - All Places of Death",511,"2022-12-01"
"Arizona","Total - All Places of Death",246,"2023-01-01"
"Arizona","Total - All Places of Death",129,"2023-02-01"
"Arizona","Total - All Places of Death",157,"2023-03-01"
"Arizona","Total - All Places of Death",123,"2023-04-01"
"Arizona","Total - All Places of Death",117,"2023-05-01"
"Arizona","Total - All Places of Death",48,"2023-06-01"
"Arkansas","Total - All Places of Death",0,"2020-01-01"
"Arkansas","Total - All Places of Death",0,"2020-02-01"
"Arkansas","Total - All Places of Death",10,"2020-03-01"
"Arkansas","Total - All Places of Death",61,"2020-04-01"
"Arkansas","Total - All Places of Death",78,"2020-05-01"
"Arkansas","Total - All Places of Death",169,"2020-06-01"
"Arkansas","Total - All Places of Death",274,"2020-07-01"
"Arkansas","Total - All Places of Death",411,"2020-08-01"
"Arkansas","Total - All Places of Death",422,"2020-09-01"
"Arkansas","Total - All Places of Death",626,"2020-10-01"
"Arkansas","Total - All Places of Death",845,"2020-11-01"
"Arkansas","Total - All Places of Death",NA,"2020-12-01"
"Arkansas","Total - All Places of Death",NA,"2021-01-01"
"Arkansas","Total - All Places of Death",475,"2021-02-01"
"Arkansas","Total - All Places of Death",205,"2021-03-01"
"Arkansas","Total - All Places of Death",85,"2021-04-01"
"Arkansas","Total - All Places of Death",94,"2021-05-01"
"Arkansas","Total - All Places of Death",127,"2021-06-01"
"Arkansas","Total - All Places of Death",417,"2021-07-01"
"Arkansas","Total - All Places of Death",971,"2021-08-01"
"Arkansas","Total - All Places of Death",760,"2021-09-01"
"Arkansas","Total - All Places of Death",416,"2021-10-01"
"Arkansas","Total - All Places of Death",234,"2021-11-01"
"Arkansas","Total - All Places of Death",362,"2021-12-01"
"Arkansas","Total - All Places of Death",818,"2022-01-01"
"Arkansas","Total - All Places of Death",785,"2022-02-01"
"Arkansas","Total - All Places of Death",208,"2022-03-01"
"Arkansas","Total - All Places of Death",60,"2022-04-01"
"Arkansas","Total - All Places of Death",45,"2022-05-01"
"Arkansas","Total - All Places of Death",66,"2022-06-01"
"Arkansas","Total - All Places of Death",148,"2022-07-01"
"Arkansas","Total - All Places of Death",179,"2022-08-01"
"Arkansas","Total - All Places of Death",147,"2022-09-01"
"Arkansas","Total - All Places of Death",102,"2022-10-01"
"Arkansas","Total - All Places of Death",83,"2022-11-01"
"Arkansas","Total - All Places of Death",132,"2022-12-01"
"Arkansas","Total - All Places of Death",178,"2023-01-01"
"Arkansas","Total - All Places of Death",90,"2023-02-01"
"Arkansas","Total - All Places of Death",49,"2023-03-01"
"Arkansas","Total - All Places of Death",42,"2023-04-01"
"Arkansas","Total - All Places of Death",35,"2023-05-01"
"Arkansas","Total - All Places of Death",14,"2023-06-01"
"California","Total - All Places of Death",NA,"2020-01-01"
"California","Total - All Places of Death",NA,"2020-02-01"
"California","Total - All Places of Death",279,"2020-03-01"
"California","Total - All Places of Death",NA,"2020-04-01"
"California","Total - All Places of Death",NA,"2020-05-01"
"California","Total - All Places of Death",NA,"2020-06-01"
"California","Total - All Places of Death",NA,"2020-07-01"
"California","Total - All Places of Death",NA,"2020-08-01"
"California","Total - All Places of Death",NA,"2020-09-01"
"California","Total - All Places of Death",NA,"2020-10-01"
"California","Total - All Places of Death",NA,"2020-11-01"
"California","Total - All Places of Death",NA,"2020-12-01"
"California","Total - All Places of Death",NA,"2021-01-01"
"California","Total - All Places of Death",NA,"2021-02-01"
"California","Total - All Places of Death",NA,"2021-03-01"
"California","Total - All Places of Death",NA,"2021-04-01"
"California","Total - All Places of Death",695,"2021-05-01"
"California","Total - All Places of Death",450,"2021-06-01"
"California","Total - All Places of Death",822,"2021-07-01"
"California","Total - All Places of Death",NA,"2021-08-01"
"California","Total - All Places of Death",NA,"2021-09-01"
"California","Total - All Places of Death",NA,"2021-10-01"
"California","Total - All Places of Death",NA,"2021-11-01"
"California","Total - All Places of Death",NA,"2021-12-01"
"California","Total - All Places of Death",NA,"2022-01-01"
"California","Total - All Places of Death",NA,"2022-02-01"
"California","Total - All Places of Death",NA,"2022-03-01"
"California","Total - All Places of Death",522,"2022-04-01"
"California","Total - All Places of Death",613,"2022-05-01"
"California","Total - All Places of Death",949,"2022-06-01"
"California","Total - All Places of Death",NA,"2022-07-01"
"California","Total - All Places of Death",NA,"2022-08-01"
"California","Total - All Places of Death",913,"2022-09-01"
"California","Total - All Places of Death",592,"2022-10-01"
"California","Total - All Places of Death",838,"2022-11-01"
"California","Total - All Places of Death",NA,"2022-12-01"
"California","Total - All Places of Death",NA,"2023-01-01"
"California","Total - All Places of Death",746,"2023-02-01"
"California","Total - All Places of Death",700,"2023-03-01"
"California","Total - All Places of Death",476,"2023-04-01"
"California","Total - All Places of Death",354,"2023-05-01"
"California","Total - All Places of Death",148,"2023-06-01"
"Colorado","Total - All Places of Death",0,"2020-01-01"
"Colorado","Total - All Places of Death",0,"2020-02-01"
"Colorado","Total - All Places of Death",107,"2020-03-01"
"Colorado","Total - All Places of Death",880,"2020-04-01"
"Colorado","Total - All Places of Death",465,"2020-05-01"
"Colorado","Total - All Places of Death",184,"2020-06-01"
"Colorado","Total - All Places of Death",152,"2020-07-01"
"Colorado","Total - All Places of Death",121,"2020-08-01"
"Colorado","Total - All Places of Death",116,"2020-09-01"
"Colorado","Total - All Places of Death",251,"2020-10-01"
"Colorado","Total - All Places of Death",NA,"2020-11-01"
"Colorado","Total - All Places of Death",NA,"2020-12-01"
"Colorado","Total - All Places of Death",754,"2021-01-01"
"Colorado","Total - All Places of Death",333,"2021-02-01"
"Colorado","Total - All Places of Death",214,"2021-03-01"
"Colorado","Total - All Places of Death",206,"2021-04-01"
"Colorado","Total - All Places of Death",319,"2021-05-01"
"Colorado","Total - All Places of Death",212,"2021-06-01"
"Colorado","Total - All Places of Death",201,"2021-07-01"
"Colorado","Total - All Places of Death",331,"2021-08-01"
"Colorado","Total - All Places of Death",530,"2021-09-01"
"Colorado","Total - All Places of Death",826,"2021-10-01"
"Colorado","Total - All Places of Death",NA,"2021-11-01"
"Colorado","Total - All Places of Death",NA,"2021-12-01"
"Colorado","Total - All Places of Death",NA,"2022-01-01"
"Colorado","Total - All Places of Death",634,"2022-02-01"
"Colorado","Total - All Places of Death",238,"2022-03-01"
"Colorado","Total - All Places of Death",88,"2022-04-01"
"Colorado","Total - All Places of Death",113,"2022-05-01"
"Colorado","Total - All Places of Death",178,"2022-06-01"
"Colorado","Total - All Places of Death",194,"2022-07-01"
"Colorado","Total - All Places of Death",135,"2022-08-01"
"Colorado","Total - All Places of Death",143,"2022-09-01"
"Colorado","Total - All Places of Death",131,"2022-10-01"
"Colorado","Total - All Places of Death",241,"2022-11-01"
"Colorado","Total - All Places of Death",235,"2022-12-01"
"Colorado","Total - All Places of Death",179,"2023-01-01"
"Colorado","Total - All Places of Death",91,"2023-02-01"
"Colorado","Total - All Places of Death",111,"2023-03-01"
"Colorado","Total - All Places of Death",95,"2023-04-01"
"Colorado","Total - All Places of Death",56,"2023-05-01"
"Colorado","Total - All Places of Death",25,"2023-06-01"
"Connecticut","Total - All Places of Death",0,"2020-01-01"
"Connecticut","Total - All Places of Death",0,"2020-02-01"
"Connecticut","Total - All Places of Death",126,"2020-03-01"
"Connecticut","Total - All Places of Death",NA,"2020-04-01"
"Connecticut","Total - All Places of Death",NA,"2020-05-01"
"Connecticut","Total - All Places of Death",285,"2020-06-01"
"Connecticut","Total - All Places of Death",77,"2020-07-01"
"Connecticut","Total - All Places of Death",30,"2020-08-01"
"Connecticut","Total - All Places of Death",43,"2020-09-01"
"Connecticut","Total - All Places of Death",147,"2020-10-01"
"Connecticut","Total - All Places of Death",499,"2020-11-01"
"Connecticut","Total - All Places of Death",NA,"2020-12-01"
"Connecticut","Total - All Places of Death",NA,"2021-01-01"
"Connecticut","Total - All Places of Death",480,"2021-02-01"
"Connecticut","Total - All Places of Death",247,"2021-03-01"
"Connecticut","Total - All Places of Death",193,"2021-04-01"
"Connecticut","Total - All Places of Death",120,"2021-05-01"
"Connecticut","Total - All Places of Death",24,"2021-06-01"
"Connecticut","Total - All Places of Death",22,"2021-07-01"
"Connecticut","Total - All Places of Death",123,"2021-08-01"
"Connecticut","Total - All Places of Death",185,"2021-09-01"
"Connecticut","Total - All Places of Death",154,"2021-10-01"
"Connecticut","Total - All Places of Death",173,"2021-11-01"
"Connecticut","Total - All Places of Death",402,"2021-12-01"
"Connecticut","Total - All Places of Death",NA,"2022-01-01"
"Connecticut","Total - All Places of Death",380,"2022-02-01"
"Connecticut","Total - All Places of Death",68,"2022-03-01"
"Connecticut","Total - All Places of Death",72,"2022-04-01"
"Connecticut","Total - All Places of Death",113,"2022-05-01"
"Connecticut","Total - All Places of Death",102,"2022-06-01"
"Connecticut","Total - All Places of Death",91,"2022-07-01"
"Connecticut","Total - All Places of Death",113,"2022-08-01"
"Connecticut","Total - All Places of Death",124,"2022-09-01"
"Connecticut","Total - All Places of Death",163,"2022-10-01"
"Connecticut","Total - All Places of Death",115,"2022-11-01"
"Connecticut","Total - All Places of Death",208,"2022-12-01"
"Connecticut","Total - All Places of Death",202,"2023-01-01"
"Connecticut","Total - All Places of Death",110,"2023-02-01"
"Connecticut","Total - All Places of Death",68,"2023-03-01"
"Connecticut","Total - All Places of Death",33,"2023-04-01"
"Connecticut","Total - All Places of Death",17,"2023-05-01"
"Connecticut","Total - All Places of Death",NA,"2023-06-01"
"Delaware","Total - All Places of Death",0,"2020-01-01"
"Delaware","Total - All Places of Death",0,"2020-02-01"
"Delaware","Total - All Places of Death",NA,"2020-03-01"
"Delaware","Total - All Places of Death",189,"2020-04-01"
"Delaware","Total - All Places of Death",276,"2020-05-01"
"Delaware","Total - All Places of Death",73,"2020-06-01"
"Delaware","Total - All Places of Death",35,"2020-07-01"
"Delaware","Total - All Places of Death",20,"2020-08-01"
"Delaware","Total - All Places of Death",31,"2020-09-01"
"Delaware","Total - All Places of Death",83,"2020-10-01"
"Delaware","Total - All Places of Death",95,"2020-11-01"
"Delaware","Total - All Places of Death",285,"2020-12-01"
"Delaware","Total - All Places of Death",325,"2021-01-01"
"Delaware","Total - All Places of Death",147,"2021-02-01"
"Delaware","Total - All Places of Death",69,"2021-03-01"
"Delaware","Total - All Places of Death",71,"2021-04-01"
"Delaware","Total - All Places of Death",42,"2021-05-01"
"Delaware","Total - All Places of Death",25,"2021-06-01"
"Delaware","Total - All Places of Death",17,"2021-07-01"
"Delaware","Total - All Places of Death",57,"2021-08-01"
"Delaware","Total - All Places of Death",134,"2021-09-01"
"Delaware","Total - All Places of Death",118,"2021-10-01"
"Delaware","Total - All Places of Death",93,"2021-11-01"
"Delaware","Total - All Places of Death",168,"2021-12-01"
"Delaware","Total - All Places of Death",340,"2022-01-01"
"Delaware","Total - All Places of Death",150,"2022-02-01"
"Delaware","Total - All Places of Death",52,"2022-03-01"
"Delaware","Total - All Places of Death",25,"2022-04-01"
"Delaware","Total - All Places of Death",34,"2022-05-01"
"Delaware","Total - All Places of Death",35,"2022-06-01"
"Delaware","Total - All Places of Death",39,"2022-07-01"
"Delaware","Total - All Places of Death",42,"2022-08-01"
"Delaware","Total - All Places of Death",42,"2022-09-01"
"Delaware","Total - All Places of Death",28,"2022-10-01"
"Delaware","Total - All Places of Death",34,"2022-11-01"
"Delaware","Total - All Places of Death",46,"2022-12-01"
"Delaware","Total - All Places of Death",60,"2023-01-01"
"Delaware","Total - All Places of Death",48,"2023-02-01"
"Delaware","Total - All Places of Death",31,"2023-03-01"
"Delaware","Total - All Places of Death",21,"2023-04-01"
"Delaware","Total - All Places of Death",11,"2023-05-01"
"Delaware","Total - All Places of Death",NA,"2023-06-01"
"District of Columbia","Total - All Places of Death",0,"2020-01-01"
"District of Columbia","Total - All Places of Death",0,"2020-02-01"
"District of Columbia","Total - All Places of Death",15,"2020-03-01"
"District of Columbia","Total - All Places of Death",262,"2020-04-01"
"District of Columbia","Total - All Places of Death",272,"2020-05-01"
"District of Columbia","Total - All Places of Death",116,"2020-06-01"
"District of Columbia","Total - All Places of Death",43,"2020-07-01"
"District of Columbia","Total - All Places of Death",37,"2020-08-01"
"District of Columbia","Total - All Places of Death",28,"2020-09-01"
"District of Columbia","Total - All Places of Death",37,"2020-10-01"
"District of Columbia","Total - All Places of Death",61,"2020-11-01"
"District of Columbia","Total - All Places of Death",133,"2020-12-01"
"District of Columbia","Total - All Places of Death",185,"2021-01-01"
"District of Columbia","Total - All Places of Death",121,"2021-02-01"
"District of Columbia","Total - All Places of Death",67,"2021-03-01"
"District of Columbia","Total - All Places of Death",60,"2021-04-01"
"District of Columbia","Total - All Places of Death",40,"2021-05-01"
"District of Columbia","Total - All Places of Death",13,"2021-06-01"
"District of Columbia","Total - All Places of Death",16,"2021-07-01"
"District of Columbia","Total - All Places of Death",44,"2021-08-01"
"District of Columbia","Total - All Places of Death",42,"2021-09-01"
"District of Columbia","Total - All Places of Death",37,"2021-10-01"
"District of Columbia","Total - All Places of Death",19,"2021-11-01"
"District of Columbia","Total - All Places of Death",63,"2021-12-01"
"District of Columbia","Total - All Places of Death",194,"2022-01-01"
"District of Columbia","Total - All Places of Death",75,"2022-02-01"
"District of Columbia","Total - All Places of Death",23,"2022-03-01"
"District of Columbia","Total - All Places of Death",11,"2022-04-01"
"District of Columbia","Total - All Places of Death",16,"2022-05-01"
"District of Columbia","Total - All Places of Death",15,"2022-06-01"
"District of Columbia","Total - All Places of Death",17,"2022-07-01"
"District of Columbia","Total - All Places of Death",22,"2022-08-01"
"District of Columbia","Total - All Places of Death",16,"2022-09-01"
"District of Columbia","Total - All Places of Death",NA,"2022-10-01"
"District of Columbia","Total - All Places of Death",17,"2022-11-01"
"District of Columbia","Total - All Places of Death",31,"2022-12-01"
"District of Columbia","Total - All Places of Death",20,"2023-01-01"
"District of Columbia","Total - All Places of Death",18,"2023-02-01"
"District of Columbia","Total - All Places of Death",12,"2023-03-01"
"District of Columbia","Total - All Places of Death",NA,"2023-04-01"
"District of Columbia","Total - All Places of Death",NA,"2023-05-01"
"District of Columbia","Total - All Places of Death",NA,"2023-06-01"
"Florida","Total - All Places of Death",0,"2020-01-01"
"Florida","Total - All Places of Death",0,"2020-02-01"
"Florida","Total - All Places of Death",191,"2020-03-01"
"Florida","Total - All Places of Death",NA,"2020-04-01"
"Florida","Total - All Places of Death",NA,"2020-05-01"
"Florida","Total - All Places of Death",NA,"2020-06-01"
"Florida","Total - All Places of Death",NA,"2020-07-01"
"Florida","Total - All Places of Death",NA,"2020-08-01"
"Florida","Total - All Places of Death",NA,"2020-09-01"
"Florida","Total - All Places of Death",NA,"2020-10-01"
"Florida","Total - All Places of Death",NA,"2020-11-01"
"Florida","Total - All Places of Death",NA,"2020-12-01"
"Florida","Total - All Places of Death",NA,"2021-01-01"
"Florida","Total - All Places of Death",NA,"2021-02-01"
"Florida","Total - All Places of Death",NA,"2021-03-01"
"Florida","Total - All Places of Death",NA,"2021-04-01"
"Florida","Total - All Places of Death",NA,"2021-05-01"
"Florida","Total - All Places of Death",834,"2021-06-01"
"Florida","Total - All Places of Death",NA,"2021-07-01"
"Florida","Total - All Places of Death",NA,"2021-08-01"
"Florida","Total - All Places of Death",NA,"2021-09-01"
"Florida","Total - All Places of Death",NA,"2021-10-01"
"Florida","Total - All Places of Death",889,"2021-11-01"
"Florida","Total - All Places of Death",863,"2021-12-01"
"Florida","Total - All Places of Death",NA,"2022-01-01"
"Florida","Total - All Places of Death",NA,"2022-02-01"
"Florida","Total - All Places of Death",NA,"2022-03-01"
"Florida","Total - All Places of Death",456,"2022-04-01"
"Florida","Total - All Places of Death",536,"2022-05-01"
"Florida","Total - All Places of Death",NA,"2022-06-01"
"Florida","Total - All Places of Death",NA,"2022-07-01"
"Florida","Total - All Places of Death",NA,"2022-08-01"
"Florida","Total - All Places of Death",950,"2022-09-01"
"Florida","Total - All Places of Death",631,"2022-10-01"
"Florida","Total - All Places of Death",494,"2022-11-01"
"Florida","Total - All Places of Death",699,"2022-12-01"
"Florida","Total - All Places of Death",990,"2023-01-01"
"Florida","Total - All Places of Death",664,"2023-02-01"
"Florida","Total - All Places of Death",459,"2023-03-01"
"Florida","Total - All Places of Death",350,"2023-04-01"
"Florida","Total - All Places of Death",289,"2023-05-01"
"Florida","Total - All Places of Death",169,"2023-06-01"
"Georgia","Total - All Places of Death",0,"2020-01-01"
"Georgia","Total - All Places of Death",NA,"2020-02-01"
"Georgia","Total - All Places of Death",221,"2020-03-01"
"Georgia","Total - All Places of Death",NA,"2020-04-01"
"Georgia","Total - All Places of Death",808,"2020-05-01"
"Georgia","Total - All Places of Death",518,"2020-06-01"
"Georgia","Total - All Places of Death",NA,"2020-07-01"
"Georgia","Total - All Places of Death",NA,"2020-08-01"
"Georgia","Total - All Places of Death",971,"2020-09-01"
"Georgia","Total - All Places of Death",783,"2020-10-01"
"Georgia","Total - All Places of Death",994,"2020-11-01"
"Georgia","Total - All Places of Death",NA,"2020-12-01"
"Georgia","Total - All Places of Death",NA,"2021-01-01"
"Georgia","Total - All Places of Death",NA,"2021-02-01"
"Georgia","Total - All Places of Death",767,"2021-03-01"
"Georgia","Total - All Places of Death",531,"2021-04-01"
"Georgia","Total - All Places of Death",387,"2021-05-01"
"Georgia","Total - All Places of Death",227,"2021-06-01"
"Georgia","Total - All Places of Death",308,"2021-07-01"
"Georgia","Total - All Places of Death",NA,"2021-08-01"
"Georgia","Total - All Places of Death",NA,"2021-09-01"
"Georgia","Total - All Places of Death",NA,"2021-10-01"
"Georgia","Total - All Places of Death",557,"2021-11-01"
"Georgia","Total - All Places of Death",617,"2021-12-01"
"Georgia","Total - All Places of Death",NA,"2022-01-01"
"Georgia","Total - All Places of Death",NA,"2022-02-01"
"Georgia","Total - All Places of Death",511,"2022-03-01"
"Georgia","Total - All Places of Death",190,"2022-04-01"
"Georgia","Total - All Places of Death",121,"2022-05-01"
"Georgia","Total - All Places of Death",204,"2022-06-01"
"Georgia","Total - All Places of Death",425,"2022-07-01"
"Georgia","Total - All Places of Death",510,"2022-08-01"
"Georgia","Total - All Places of Death",334,"2022-09-01"
"Georgia","Total - All Places of Death",227,"2022-10-01"
"Georgia","Total - All Places of Death",184,"2022-11-01"
"Georgia","Total - All Places of Death",319,"2022-12-01"
"Georgia","Total - All Places of Death",468,"2023-01-01"
"Georgia","Total - All Places of Death",268,"2023-02-01"
"Georgia","Total - All Places of Death",190,"2023-03-01"
"Georgia","Total - All Places of Death",116,"2023-04-01"
"Georgia","Total - All Places of Death",83,"2023-05-01"
"Georgia","Total - All Places of Death",26,"2023-06-01"
"Hawaii","Total - All Places of Death",0,"2020-01-01"
"Hawaii","Total - All Places of Death",0,"2020-02-01"
"Hawaii","Total - All Places of Death",NA,"2020-03-01"
"Hawaii","Total - All Places of Death",16,"2020-04-01"
"Hawaii","Total - All Places of Death",0,"2020-05-01"
"Hawaii","Total - All Places of Death",NA,"2020-06-01"
"Hawaii","Total - All Places of Death",NA,"2020-07-01"
"Hawaii","Total - All Places of Death",74,"2020-08-01"
"Hawaii","Total - All Places of Death",128,"2020-09-01"
"Hawaii","Total - All Places of Death",71,"2020-10-01"
"Hawaii","Total - All Places of Death",31,"2020-11-01"
"Hawaii","Total - All Places of Death",35,"2020-12-01"
"Hawaii","Total - All Places of Death",48,"2021-01-01"
"Hawaii","Total - All Places of Death",28,"2021-02-01"
"Hawaii","Total - All Places of Death",18,"2021-03-01"
"Hawaii","Total - All Places of Death",14,"2021-04-01"
"Hawaii","Total - All Places of Death",22,"2021-05-01"
"Hawaii","Total - All Places of Death",13,"2021-06-01"
"Hawaii","Total - All Places of Death",25,"2021-07-01"
"Hawaii","Total - All Places of Death",154,"2021-08-01"
"Hawaii","Total - All Places of Death",251,"2021-09-01"
"Hawaii","Total - All Places of Death",92,"2021-10-01"
"Hawaii","Total - All Places of Death",45,"2021-11-01"
"Hawaii","Total - All Places of Death",34,"2021-12-01"
"Hawaii","Total - All Places of Death",161,"2022-01-01"
"Hawaii","Total - All Places of Death",110,"2022-02-01"
"Hawaii","Total - All Places of Death",28,"2022-03-01"
"Hawaii","Total - All Places of Death",18,"2022-04-01"
"Hawaii","Total - All Places of Death",45,"2022-05-01"
"Hawaii","Total - All Places of Death",70,"2022-06-01"
"Hawaii","Total - All Places of Death",59,"2022-07-01"
"Hawaii","Total - All Places of Death",60,"2022-08-01"
"Hawaii","Total - All Places of Death",25,"2022-09-01"
"Hawaii","Total - All Places of Death",20,"2022-10-01"
"Hawaii","Total - All Places of Death",22,"2022-11-01"
"Hawaii","Total - All Places of Death",19,"2022-12-01"
"Hawaii","Total - All Places of Death",36,"2023-01-01"
"Hawaii","Total - All Places of Death",18,"2023-02-01"
"Hawaii","Total - All Places of Death",15,"2023-03-01"
"Hawaii","Total - All Places of Death",24,"2023-04-01"
"Hawaii","Total - All Places of Death",17,"2023-05-01"
"Hawaii","Total - All Places of Death",NA,"2023-06-01"
"Idaho","Total - All Places of Death",0,"2020-01-01"
"Idaho","Total - All Places of Death",0,"2020-02-01"
"Idaho","Total - All Places of Death",10,"2020-03-01"
"Idaho","Total - All Places of Death",55,"2020-04-01"
"Idaho","Total - All Places of Death",22,"2020-05-01"
"Idaho","Total - All Places of Death",11,"2020-06-01"
